pair_id,query_id,query,organization_name,category,public_description,public_tags,review_snippets,hidden_tags,label,relevance_score
0,romantic_jazz_bar,бар с живым джазом для свидания,Мята Station,restaurant,только для взрослых капучино ужин романтичный вайфай,adults_only good_coffee restaurant romantic wifi,"В отзывах часто пишут: капучино, заботливые официанты, джаз, уютный свет.",bar cocktails friendly_staff jazz late_hours live_music,1,1.0
1,pet_friendly,pet friendly кафе,Фонарь Station,cafe,эль саксофон только навынос,beer jazz takeaway_only,"В отзывах часто пишут: пускают с питомцами, только навынос, детское меню, живая музыка, детские праздники.",beer friendly_staff kids_party kids_room meat_only pet_friendly,1,0.8533
2,sports_bar,спортбар с трансляциями,Оливка на углу,bar,паб закрывается рано капучино у метро,bar closed_evening good_coffee near_metro,"В отзывах часто пишут: зарядка, напитки, крафт, хорошие блюда.",beer big_screen good_food near_metro power_outlets sports_broadcasts,1,0.9267
3,terrace_restaurant,ужин на летней террасе,Место Room,restaurant,большой экран детские праздники веранда,big_screen kids_party terrace,"В отзывах часто пишут: телевизоры, детские праздники, семейно, веранда, место для ноутбука.",family_friendly power_outlets restaurant,1,0.8533
4,terrace_restaurant,кафе с открытой верандой,Атлас Парк,pharmacy,ночью открыто удобно с детьми только мясо лекарства,24h family_friendly meat_only pharmacy,"В отзывах часто пишут: только навынос, круглосуточно, лекарства.",loud_music power_outlets quiet romantic takeaway_only,0,0.0
5,romantic_jazz_bar,романтичный джаз-бар,Фонарь Лофт,pharmacy,ночью открыто проектор не торопят фармацевт wifi,24h big_screen long_stay pharmacy wifi,"В отзывах часто пишут: только навынос, круглосуточно.",closed_evening pet_friendly takeaway_only vegan,0,0.0
6,kids_cafe,кафе для детей,Атлас Плюс,cafe,только для взрослых кафе сильная кухня футбол wifi,adults_only cafe good_food sports_broadcasts wifi,"В отзывах часто пишут: вайфай, растительное меню, только для взрослых, трансляции.",pet_friendly vegan,0,0.04
7,vegan_food,где поесть без мяса и молока,Соль Daily,restaurant,заказ столика кухня веган,reservation restaurant vegan,"В отзывах часто пишут: без молока и мяса, заказ столика, проектор, кухня.",big_screen,1,0.78
8,pet_friendly,заведение с животными,Соль Парк,cafe,аниматор громкая музыка трансляции терраса,kids_room loud_music sports_broadcasts terrace,"В отзывах часто пишут: работает допоздна, можно с собакой, саксофон, вежливый персонал.",friendly_staff jazz late_hours pet_friendly power_outlets,1,0.9267
9,romantic_jazz_bar,уютный джазовый бар,Мята Room,bar,коктейли у метро футбол,bar near_metro sports_broadcasts,"В отзывах часто пишут: матчи, у метро, резерв, бар.",beer reservation takeaway_only,0,0.26
10,pet_friendly,pet friendly кафе,Север Парк,bar,24 часа летняя площадка,24h terrace,"В отзывах часто пишут: терраса, pet friendly, вайфай, круглосуточно.",pet_friendly wifi,1,0.8533
11,late_pharmacy,где купить лекарства поздно,Фонарь Station,pharmacy,десерты удобно с детьми живая музыка пускают с питомцами фармацевт,cafe family_friendly live_music pet_friendly pharmacy,"В отзывах часто пишут: ночью открыто, можно с собакой.",24h late_hours,1,0.78
12,pet_friendly,pet friendly кафе,Соль Лофт,bar,коктейли громкая музыка пускают с питомцами футбол без молока и мяса,bar loud_music pet_friendly sports_broadcasts vegan,"В отзывах часто пишут: без глютена, футбол, веган, громкая музыка, напитки.",closed_evening cocktails gluten_free power_outlets,1,0.78
13,terrace_restaurant,кафе с открытой верандой,Мята Парк,pharmacy,крафт проектор фармацевт ужин,beer big_screen pharmacy restaurant,"В отзывах часто пишут: проектор, заказ столика, удобно с детьми, крафт.",family_friendly good_food meat_only reservation terrace wifi,1,1.0
14,kids_cafe,семейное кафе с игровой комнатой,Лампа Парк,bar,бар детское меню громкая музыка,bar kids_room loud_music,"В отзывах часто пишут: громкая музыка, удобные столы, кофейня, паб.",cafe desserts long_stay no_pets,1,0.8533
15,romantic_jazz_bar,бар с живым джазом для свидания,Соль на Тверской,restaurant,только мясо свидание,meat_only romantic,"В отзывах часто пишут: свидание, саксофон, коктейли, до ночи.",bar gluten_free jazz kids_party late_hours,0,0.5033
16,sports_bar,бар посмотреть футбол,Лампа Daily,bar,коктейли доставка gluten free резерв футбол,bar delivery gluten_free reservation sports_broadcasts,"В отзывах часто пишут: футбол, закрывается рано, бар, gluten free.",big_screen closed_evening,1,0.8533
17,pet_friendly,заведение с животными,Лампа на углу,cafe,телевизоры только мясо с животными нельзя pet friendly заказ столика,big_screen meat_only no_pets pet_friendly reservation,"В отзывах часто пишут: аптека, вежливый персонал, только мясо, проектор, миска для собаки.",delivery friendly_staff pharmacy terrace water_for_pets,1,0.65
18,quiet_coworking,кофейня с розетками и wifi,Оливка Daily,restaurant,семейно вежливый персонал свидание матчи интернет,family_friendly friendly_staff romantic sports_broadcasts wifi,"В отзывах часто пишут: свидание, десерты, напитки, футбол.",bar cafe closed_evening kids_room long_stay power_outlets quiet vegan,1,0.9267
19,pet_friendly,ресторан куда можно с собакой,Мята Плюс,cafe,здоровая еда живая музыка поздние часы пускают с питомцами,healthy_food jazz late_hours pet_friendly,"В отзывах часто пишут: саксофон, бронь, доставка, капучино.",delivery good_coffee pharmacy reservation,1,0.78
