id,text,audio_path,format
0,We paid 120 USD; divide it for 6 friends and add a 18 percent tip,artifacts\audio_samples\0000.mp3,mp3
1,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0001.mp3,mp3
2,Переведи 100 kilograms в pounds,artifacts\audio_samples\0002.mp3,mp3
3,Split a EUR 120 bill between 2 people with 0% tip,artifacts\audio_samples\0003.mp3,mp3
4,"How much should each person pay if dinner is 250 RUB, 7 people, tip 12 percent",artifacts\audio_samples\0004.mp3,mp3
5,"Сколько платит каждый если счет 72 EUR, людей 4, чаевые 10 процентов",artifacts\audio_samples\0005.mp3,mp3
6,Сколько будет 21 kilometers в miles,artifacts\audio_samples\0006.mp3,mp3
7,How many meters are in 12 feet,artifacts\audio_samples\0007.mp3,mp3
8,What can you do as a voice assistant,artifacts\audio_samples\0008.mp3,mp3
9,Раздели счет 180 EUR на 4 человек с чаевыми 10 процентов,artifacts\audio_samples\0009.mp3,mp3
10,Раздели счет 120 USD на 6 человек с чаевыми 12 процентов,artifacts\audio_samples\0010.mp3,mp3
11,Сколько будет 100 feet в meters,artifacts\audio_samples\0011.mp3,mp3
12,"Сколько платит каждый если счет 96 RUB, людей 6, чаевые 12 процентов",artifacts\audio_samples\0012.mp3,mp3
13,Convert 10 miles to kilometers,artifacts\audio_samples\0013.mp3,mp3
14,Tell me a short fun fact about machine learning,artifacts\audio_samples\0014.mp3,mp3
15,How many meters are in 42 feet,artifacts\audio_samples\0015.mp3,mp3
16,Переведи 10 kilometers в miles,artifacts\audio_samples\0016.mp3,mp3
17,Переведи 12 kilograms в pounds,artifacts\audio_samples\0017.mp3,mp3
18,Сколько будет 12 kilograms в pounds,artifacts\audio_samples\0018.mp3,mp3
19,How many meters are in 42 feet,artifacts\audio_samples\0019.mp3,mp3
20,"Сколько платит каждый если счет 72 USD, людей 2, чаевые 0 процентов",artifacts\audio_samples\0020.mp3,mp3
21,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0021.mp3,mp3
22,Раздели счет 48 EUR на 4 человек с чаевыми 18 процентов,artifacts\audio_samples\0022.mp3,mp3
23,Сколько будет 100 feet в meters,artifacts\audio_samples\0023.mp3,mp3
24,Please translate 3 meters into feet,artifacts\audio_samples\0024.mp3,mp3
